resource,method,position,source,target,ligand_complex,receptor_complex,score
consensus,SingleCellSignalR magnitude,75,Monocyte classical,Monocyte non-classical,S100A9,CD68,0.97102165
consensus,SingleCellSignalR magnitude,76,Monocyte classical,Monocyte non-classical,S100A9,ITGB2,0.9710067
consensus,SingleCellSignalR magnitude,77,CD4 T memory,NK,HLA-B,KLRD1,0.97089165
consensus,SingleCellSignalR magnitude,78,Plasmacytoid DC,Plasmacytoid DC,APP,CD74,0.9708871
consensus,SingleCellSignalR magnitude,79,T activated,CD8 T memory,HLA-B,CD3D,0.9708772
consensus,SingleCellSignalR magnitude,80,T proliferating,T proliferating,HMGB1,CXCR4,0.9708179
consensus,SingleCellSignalR magnitude,81,Granulocyte precursor,CD8 T memory,HMGB1,CXCR4,0.97078705
consensus,SingleCellSignalR magnitude,82,Erythroid early,CD4 T memory,HMGB1,CXCR4,0.97075945
consensus,SingleCellSignalR magnitude,83,CD8 T memory,CD4 T memory,HLA-B,CD3D,0.97073066
consensus,SingleCellSignalR magnitude,84,Pre-B large,CD8 T cytotoxic,HMGB1,CXCR4,0.97066694
consensus,SingleCellSignalR magnitude,85,Monocyte classical,Monocyte non-classical,S100A8,CD68,0.9706601
consensus,SingleCellSignalR magnitude,86,Monocyte classical,Monocyte non-classical,S100A8,ITGB2,0.97064495
consensus,SingleCellSignalR magnitude,87,Pre-B small,T proliferating,HLA-B,CD3D,0.9706242
consensus,SingleCellSignalR magnitude,88,NK,CD4 T memory,HLA-B,CD3D,0.97058517
