gene,bin,scaled,lineage
IL3RA,15,-1.6238021,Plasmacytoid DC
IL3RA,16,-2.7184062,Plasmacytoid DC
IL3RA,17,0.5948856,Plasmacytoid DC
IL3RA,18,-0.9676471,Plasmacytoid DC
IL3RA,19,-0.08288587,Plasmacytoid DC
IL3RA,20,1.1223488,Plasmacytoid DC
IL3RA,21,-0.2297611,Plasmacytoid DC
IL3RA,22,-1.1597022,Plasmacytoid DC
IL3RA,23,-0.56454635,Plasmacytoid DC
IL3RA,24,0.42693678,Plasmacytoid DC
IL3RA,25,-1.1733004,Plasmacytoid DC
IL3RA,26,0.023041418,Plasmacytoid DC
IL3RA,27,0.31933302,Plasmacytoid DC
IL3RA,28,-0.27340814,Plasmacytoid DC
IL3RA,29,1.5082717,Plasmacytoid DC
IL3RA,30,2.0621688,Plasmacytoid DC
IL3RA,31,0.03494748,Plasmacytoid DC
IL3RA,32,1.1765672,Plasmacytoid DC
IL3RA,33,0.5765875,Plasmacytoid DC
IL3RA,34,1.243223,Plasmacytoid DC
IL3RA,35,0.8115192,Plasmacytoid DC
IL3RA,36,1.1479174,Plasmacytoid DC
IL3RA,37,1.4992136,Plasmacytoid DC
IL3RA,38,1.4774469,Plasmacytoid DC
IL3RA,39,-0.07452748,Plasmacytoid DC
MAP1A,0,-1.1957136,Plasmacytoid DC
MAP1A,1,0.242355,Plasmacytoid DC
MAP1A,2,-0.5665124,Plasmacytoid DC
MAP1A,3,-1.3504468,Plasmacytoid DC
MAP1A,4,-0.87467897,Plasmacytoid DC
MAP1A,5,0.18656614,Plasmacytoid DC
MAP1A,6,1.2787087,Plasmacytoid DC
MAP1A,7,-0.301406,Plasmacytoid DC
MAP1A,8,-0.38604948,Plasmacytoid DC
MAP1A,9,-0.8636171,Plasmacytoid DC
MAP1A,10,0.0014664042,Plasmacytoid DC
MAP1A,11,0.29021263,Plasmacytoid DC
MAP1A,12,-0.8030731,Plasmacytoid DC
MAP1A,13,-1.2772491,Plasmacytoid DC
MAP1A,14,1.4734062,Plasmacytoid DC
MAP1A,15,0.15716003,Plasmacytoid DC
MAP1A,16,-0.34491956,Plasmacytoid DC
MAP1A,17,-1.9705328,Plasmacytoid DC
MAP1A,18,0.20660019,Plasmacytoid DC
MAP1A,19,-0.6025927,Plasmacytoid DC
MAP1A,20,-0.057714872,Plasmacytoid DC
MAP1A,21,0.7492473,Plasmacytoid DC
MAP1A,22,-1.2405412,Plasmacytoid DC
MAP1A,23,-0.3826141,Plasmacytoid DC
MAP1A,24,0.47432834,Plasmacytoid DC
MAP1A,25,1.1781051,Plasmacytoid DC
MAP1A,26,1.4327565,Plasmacytoid DC
MAP1A,27,1.4163158,Plasmacytoid DC
MAP1A,28,-0.5395335,Plasmacytoid DC
MAP1A,29,0.9215656,Plasmacytoid DC
MAP1A,30,2.2709599,Plasmacytoid DC
MAP1A,31,-1.2214632,Plasmacytoid DC
MAP1A,32,0.8541974,Plasmacytoid DC
MAP1A,33,0.4643062,Plasmacytoid DC
MAP1A,34,-0.40213498,Plasmacytoid DC
MAP1A,35,-1.2986524,Plasmacytoid DC
MAP1A,36,-0.333865,Plasmacytoid DC
MAP1A,37,1.3446908,Plasmacytoid DC
MAP1A,38,1.7568691,Plasmacytoid DC
MAP1A,39,-0.6865078,Plasmacytoid DC
LILRA4,0,-1.4628732,Plasmacytoid DC
LILRA4,1,-2.9357793,Plasmacytoid DC
LILRA4,2,0.6790554,Plasmacytoid DC
LILRA4,3,0.4137232,Plasmacytoid DC
LILRA4,4,-1.3329499,Plasmacytoid DC
LILRA4,5,-1.3357881,Plasmacytoid DC
LILRA4,6,-1.5385551,Plasmacytoid DC
LILRA4,7,-1.0992485,Plasmacytoid DC
LILRA4,8,-1.9877037,Plasmacytoid DC
LILRA4,9,0.15644582,Plasmacytoid DC
LILRA4,10,-0.5939221,Plasmacytoid DC
LILRA4,11,-0.50698113,Plasmacytoid DC
LILRA4,12,-0.48496342,Plasmacytoid DC
LILRA4,13,0.48524633,Plasmacytoid DC
LILRA4,14,-0.211622,Plasmacytoid DC
LILRA4,15,-1.4538532,Plasmacytoid DC
LILRA4,16,0.9220888,Plasmacytoid DC
LILRA4,17,0.13747652,Plasmacytoid DC
LILRA4,18,0.2409889,Plasmacytoid DC
LILRA4,19,-0.4186679,Plasmacytoid DC
LILRA4,20,0.1410845,Plasmacytoid DC
LILRA4,21,1.3864192,Plasmacytoid DC
LILRA4,22,-0.07106782,Plasmacytoid DC
LILRA4,23,0.4582929,Plasmacytoid DC
LILRA4,24,-0.3042907,Plasmacytoid DC
LILRA4,25,0.48708197,Plasmacytoid DC
LILRA4,26,0.63271165,Plasmacytoid DC
LILRA4,27,0.033683654,Plasmacytoid DC
LILRA4,28,-0.090286195,Plasmacytoid DC
LILRA4,29,0.88736475,Plasmacytoid DC
LILRA4,30,-0.0019919616,Plasmacytoid DC
LILRA4,31,1.4799783,Plasmacytoid DC
LILRA4,32,0.8061796,Plasmacytoid DC
LILRA4,33,1.4352957,Plasmacytoid DC
LILRA4,34,0.37414548,Plasmacytoid DC
LILRA4,35,0.7402688,Plasmacytoid DC
LILRA4,36,0.98037016,Plasmacytoid DC
LILRA4,37,1.0858319,Plasmacytoid DC
LILRA4,38,0.9176574,Plasmacytoid DC
LILRA4,39,0.94915134,Plasmacytoid DC
GAS6,0,-1.1752284,Plasmacytoid DC
GAS6,1,-1.8236191,Plasmacytoid DC
GAS6,2,-1.3069819,Plasmacytoid DC
GAS6,3,-0.7199161,Plasmacytoid DC
GAS6,4,-1.2833927,Plasmacytoid DC
GAS6,5,-1.8236191,Plasmacytoid DC
GAS6,6,0.11080004,Plasmacytoid DC
GAS6,7,0.2939483,Plasmacytoid DC
GAS6,8,-0.5612855,Plasmacytoid DC
GAS6,9,1.1636832,Plasmacytoid DC
GAS6,10,-0.57627225,Plasmacytoid DC
GAS6,11,-0.05752957,Plasmacytoid DC
GAS6,12,-1.1710681,Plasmacytoid DC
GAS6,13,-0.1258729,Plasmacytoid DC
GAS6,14,-0.39527047,Plasmacytoid DC
GAS6,15,-0.8820166,Plasmacytoid DC
GAS6,16,-1.8236191,Plasmacytoid DC
GAS6,17,-0.021097645,Plasmacytoid DC
GAS6,18,0.94467974,Plasmacytoid DC
GAS6,19,0.11934032,Plasmacytoid DC
GAS6,20,0.61433315,Plasmacytoid DC
GAS6,21,0.028318759,Plasmacytoid DC
GAS6,22,2.002805,Plasmacytoid DC
GAS6,23,1.7771695,Plasmacytoid DC
GAS6,24,-0.75508446,Plasmacytoid DC
GAS6,25,0.28530943,Plasmacytoid DC
GAS6,26,0.90919405,Plasmacytoid DC
GAS6,27,0.81663996,Plasmacytoid DC
GAS6,28,0.8094272,Plasmacytoid DC
GAS6,29,0.747147,Plasmacytoid DC
GAS6,30,1.5872809,Plasmacytoid DC
GAS6,31,-0.33510074,Plasmacytoid DC
GAS6,32,2.1523955,Plasmacytoid DC
GAS6,33,-0.19024801,Plasmacytoid DC
GAS6,34,0.10901845,Plasmacytoid DC
GAS6,35,0.70410484,Plasmacytoid DC
GAS6,36,-0.2555028,Plasmacytoid DC
GAS6,37,0.64318883,Plasmacytoid DC
GAS6,38,-0.49091977,Plasmacytoid DC
GAS6,39,-0.045135554,Plasmacytoid DC
SCAMP5,0,-0.45834312,Plasmacytoid DC
SCAMP5,1,-0.24596417,Plasmacytoid DC
SCAMP5,2,-1.1965885,Plasmacytoid DC
SCAMP5,3,-1.1965885,Plasmacytoid DC
SCAMP5,4,1.7028719,Plasmacytoid DC
SCAMP5,5,-1.1965885,Plasmacytoid DC
SCAMP5,6,-0.09265899,Plasmacytoid DC
SCAMP5,7,0.88452655,Plasmacytoid DC
SCAMP5,8,-0.22150856,Plasmacytoid DC
SCAMP5,9,-1.1965885,Plasmacytoid DC
SCAMP5,10,-1.1965885,Plasmacytoid DC
SCAMP5,11,-1.1965885,Plasmacytoid DC
SCAMP5,12,0.11387376,Plasmacytoid DC
SCAMP5,13,-1.1965885,Plasmacytoid DC
SCAMP5,14,-0.40082616,Plasmacytoid DC
SCAMP5,15,0.46235827,Plasmacytoid DC
SCAMP5,16,0.79469085,Plasmacytoid DC
SCAMP5,17,0.62834,Plasmacytoid DC
SCAMP5,18,-1.1965885,Plasmacytoid DC
SCAMP5,19,-0.35420582,Plasmacytoid DC
SCAMP5,20,-0.23062135,Plasmacytoid DC
SCAMP5,21,-0.0715317,Plasmacytoid DC
SCAMP5,22,1.8935608,Plasmacytoid DC
SCAMP5,23,-1.1965885,Plasmacytoid DC
SCAMP5,24,0.64068556,Plasmacytoid DC
SCAMP5,25,-0.32845578,Plasmacytoid DC
SCAMP5,26,1.2018206,Plasmacytoid DC
SCAMP5,27,0.7737734,Plasmacytoid DC
SCAMP5,28,-1.1965885,Plasmacytoid DC
SCAMP5,29,-0.329712,Plasmacytoid DC
SCAMP5,30,0.93546337,Plasmacytoid DC
SCAMP5,31,0.8428423,Plasmacytoid DC
