lineage,gene,correlation,p_value,pct_cells
Erythroid late,FAM178B,0.46808563692402283,0.0,0.042492844132188394
Erythroid late,HBA2,0.4660676728514952,0.0,0.13421805880822274
Erythroid late,BLVRB,0.44823498730704425,0.0,0.1498048399687744
Erythroid late,PRDX2,0.43423092310748806,0.0,0.25818371064272705
Erythroid late,CA2,0.3981950085034832,0.0,0.04694249284413219
Erythroid late,APOC1,0.39216848288534784,0.0,0.043273484257090815
Erythroid late,GYPA,0.3760901081350803,0.0,0.03296903460837887
Erythroid late,SMIM1,0.37475577172487284,0.0,0.04582357533177205
Erythroid late,KLF1,0.37224031117340145,0.0,0.03937028363257872
Erythroid late,PCLAF,0.3680918653529642,0.0,0.09193338537600833
Erythroid late,MYL4,0.3669317707034791,0.0,0.03970856102003643
Erythroid late,KCNH2,0.3604762187100795,0.0,0.038459536820192555
Erythroid late,HMBS,0.3537448369673813,0.0,0.06164454852979443
Erythroid late,HBQ1,0.351575847361863,0.0,0.03442622950819672
Erythroid late,SYNGR1,0.3338458079891319,0.0,0.09182930002602134
Erythroid late,GATA1,0.33356831074690735,0.0,0.03856362217017955
Erythroid late,UROD,0.33082684962980097,0.0,0.10080666146239917
Erythroid late,TUBB,0.32795021254281165,0.0,0.23434816549570647
Erythroid late,ALAS2,0.3273630762725776,0.0,0.03143377569607078
Erythroid late,AKR1C3,0.32244943798137415,0.0,0.06484517304189436
Erythroid late,HBM,0.3188192501416931,0.0,0.02721831902159771
Erythroid late,FECH,0.3182775393969345,0.0,0.05201665365599792
Erythroid late,TUBA1B,0.31347542369759973,0.0,0.3129846474108769
Erythroid late,EPCAM,0.308439621576567,0.0,0.03492063492063492
Erythroid late,CKS2,0.30810833206127786,0.0,0.08274785323965651
Erythroid late,TMEM14C,0.3036934714650364,0.0,0.15003903200624513
Erythroid late,CNRIP1,0.30145798942133456,0.0,0.03502472027062191
Erythroid late,ATP5IF1,0.3009497477768396,0.0,0.37395264116575594
Erythroid late,NME4,0.2990733959599293,0.0,0.12664584959666927
Erythroid late,REXO2,0.29376233800244433,0.0,0.11720010408534999
Erythroid late,HMGN5,0.29263280501762295,0.0,0.06036950299245381
Erythroid late,GYPB,0.2868357993060645,0.0,0.024824355971896955
Erythroid late,TYMS,0.27978244839313426,0.0,0.07390059849076243
Erythroid late,BIRC5,0.27968923607867924,0.0,0.05407233931824096
Erythroid late,RFESD,0.27758613979537045,0.0,0.03429612282071298
Erythroid late,HSPD1,0.27662422558413025,0.0,0.17077803799115274
Erythroid late,LINC01133,0.27653636774855844,0.0,0.021831902159771013
Erythroid late,ALDH1A1,0.2756231116894571,0.0,0.0546448087431694
Erythroid late,HEMGN,0.27346300671182394,0.0,0.03721051262034868
Erythroid late,SNCA,0.2672362590510799,0.0,0.0585480093676815
Erythroid late,HMGA1,0.265438415448403,0.0,0.18501170960187355
Erythroid late,CDC20,0.2637137757337464,0.0,0.03669008587041374
Erythroid late,UBAC1,0.2618373854761251,0.0,0.0638303408795212
Erythroid late,HEBP1,0.25411916043545074,0.0,0.07634660421545668
Erythroid late,TUBG1,0.25383260267999874,0.0,0.04236273744470466
Erythroid early,FAM178B,0.7917869333510819,0.0,0.042492844132188394
Erythroid early,KCNH2,0.7914672432232683,0.0,0.038459536820192555
Erythroid early,KLF1,0.790799928753581,0.0,0.03937028363257872
Erythroid early,AHSP,0.7849891547956032,0.0,0.06416861826697892
Erythroid early,RHAG,0.7746122801945717,0.0,0.030705178246161854
Erythroid early,EPCAM,0.758324296810839,0.0,0.03492063492063492
Erythroid early,CA2,0.7416575261778369,0.0,0.04694249284413219
Erythroid early,CA1,0.7404694513452744,0.0,0.05644028103044497
Erythroid early,PKLR,0.7353778150988779,0.0,0.02797293780900338
Erythroid early,GYPA,0.7297710884803562,0.0,0.03296903460837887
Erythroid early,HBD,0.7285843001518185,0.0,0.05969294821753838
Erythroid early,GATA1,0.7219912376522813,0.0,0.03856362217017955
Erythroid early,APOC1,0.7159082652271942,0.0,0.043273484257090815
Erythroid early,ALAS2,0.708533425861708,0.0,0.03143377569607078
Erythroid early,HBQ1,0.7023249650090148,0.0,0.03442622950819672
Erythroid early,TFR2,0.69511532482671,0.0,0.03424408014571949
Erythroid early,TMEM56,0.688941634807518,0.0,0.02651574290918553
Erythroid early,HBB,0.6886137192055123,0.0,0.29018995576372625
Erythroid early,SPTA1,0.6748933171073453,0.0,0.029143897996357013
Erythroid early,MYL4,0.6697473832579068,0.0,0.03970856102003643
Erythroid early,SMIM1,0.6649445530097867,0.0,0.04582357533177205
